"","X","ID_REFA_LDA","JOUR","LIBELLE_ARRET","Sum_NB_VALD","ZdAYEpsg2154","ZdAXEpsg2154","Weekday","HolidayType","SpecialPeriod"
"1",1,411281,"2017-01-01","LYCEE HENRI SELLIER",63,6868624,664446,"Sunday","Non-Holiday",0
"2",2,411281,"2017-01-01","LYCEE HENRI SELLIER",63,6868564,664461,"Sunday","Non-Holiday",0
"3",3,411281,"2017-02-01","LYCEE HENRI SELLIER",881,6868624,664446,"Wednesday","Non-Holiday",0
"4",4,411281,"2017-02-01","LYCEE HENRI SELLIER",881,6868564,664461,"Wednesday","Non-Holiday",0
"5",5,411281,"2017-03-01","LYCEE HENRI SELLIER",833,6868624,664446,"Wednesday","Non-Holiday",0
"6",6,411281,"2017-03-01","LYCEE HENRI SELLIER",833,6868564,664461,"Wednesday","Non-Holiday",0
"7",7,411281,"2017-04-01","LYCEE HENRI SELLIER",306,6868624,664446,"Saturday","Non-Holiday",0
"8",8,411281,"2017-04-01","LYCEE HENRI SELLIER",306,6868564,664461,"Saturday","Non-Holiday",0
"9",9,411281,"2017-05-01","LYCEE HENRI SELLIER",132,6868624,664446,"Monday","Non-Holiday",0
"10",10,411281,"2017-05-01","LYCEE HENRI SELLIER",132,6868564,664461,"Monday","Non-Holiday",0
"11",11,411281,"2017-06-01","LYCEE HENRI SELLIER",804,6868624,664446,"Thursday","Non-Holiday",0
"12",12,411281,"2017-06-01","LYCEE HENRI SELLIER",804,6868564,664461,"Thursday","Non-Holiday",0
"13",13,411281,"2017-01-02","LYCEE HENRI SELLIER",291,6868624,664446,"Monday","Non-Holiday",0
"14",14,411281,"2017-01-02","LYCEE HENRI SELLIER",291,6868564,664461,"Monday","Non-Holiday",0
"15",15,411281,"2017-02-02","LYCEE HENRI SELLIER",859,6868624,664446,"Thursday","Non-Holiday",0
"16",16,411281,"2017-02-02","LYCEE HENRI SELLIER",859,6868564,664461,"Thursday","Non-Holiday",0
"17",17,411281,"2017-03-02","LYCEE HENRI SELLIER",908,6868624,664446,"Thursday","Non-Holiday",0
"18",18,411281,"2017-03-02","LYCEE HENRI SELLIER",908,6868564,664461,"Thursday","Non-Holiday",0
"19",19,411281,"2017-04-02","LYCEE HENRI SELLIER",208,6868624,664446,"Sunday","Non-Holiday",0
"20",20,411281,"2017-04-02","LYCEE HENRI SELLIER",208,6868564,664461,"Sunday","Non-Holiday",0
"21",21,411281,"2017-05-02","LYCEE HENRI SELLIER",847,6868624,664446,"Tuesday","Non-Holiday",0
"22",22,411281,"2017-05-02","LYCEE HENRI SELLIER",847,6868564,664461,"Tuesday","Non-Holiday",0
"23",23,411281,"2017-06-02","LYCEE HENRI SELLIER",828,6868624,664446,"Friday","Non-Holiday",0
"24",24,411281,"2017-06-02","LYCEE HENRI SELLIER",828,6868564,664461,"Friday","Non-Holiday",0
"25",25,411281,"2017-01-03","LYCEE HENRI SELLIER",610,6868624,664446,"Tuesday","Non-Holiday",0
"26",26,411281,"2017-01-03","LYCEE HENRI SELLIER",610,6868564,664461,"Tuesday","Non-Holiday",0
"27",27,411281,"2017-02-03","LYCEE HENRI SELLIER",938,6868624,664446,"Friday","Non-Holiday",0
"28",28,411281,"2017-02-03","LYCEE HENRI SELLIER",938,6868564,664461,"Friday","Non-Holiday",0
"29",29,411281,"2017-03-03","LYCEE HENRI SELLIER",740,6868624,664446,"Friday","Non-Holiday",0
"30",30,411281,"2017-03-03","LYCEE HENRI SELLIER",740,6868564,664461,"Friday","Non-Holiday",0
"31",31,411281,"2017-04-03","LYCEE HENRI SELLIER",571,6868624,664446,"Monday","Non-Holiday",0
"32",32,411281,"2017-04-03","LYCEE HENRI SELLIER",571,6868564,664461,"Monday","Non-Holiday",0
"33",33,411281,"2017-05-03","LYCEE HENRI SELLIER",886,6868624,664446,"Wednesday","Non-Holiday",0
"34",34,411281,"2017-05-03","LYCEE HENRI SELLIER",886,6868564,664461,"Wednesday","Non-Holiday",0
"35",35,411281,"2017-06-03","LYCEE HENRI SELLIER",410,6868624,664446,"Saturday","Non-Holiday",0
"36",36,411281,"2017-06-03","LYCEE HENRI SELLIER",410,6868564,664461,"Saturday","Non-Holiday",0
"37",37,411281,"2017-01-04","LYCEE HENRI SELLIER",668,6868624,664446,"Wednesday","Non-Holiday",0
"38",38,411281,"2017-01-04","LYCEE HENRI SELLIER",668,6868564,664461,"Wednesday","Non-Holiday",0
"39",39,411281,"2017-02-04","LYCEE HENRI SELLIER",335,6868624,664446,"Saturday","Non-Holiday",1
"40",40,411281,"2017-02-04","LYCEE HENRI SELLIER",335,6868564,664461,"Saturday","Non-Holiday",1
"41",41,411281,"2017-03-04","LYCEE HENRI SELLIER",64,6868624,664446,"Saturday","Non-Holiday",0
"42",42,411281,"2017-03-04","LYCEE HENRI SELLIER",64,6868564,664461,"Saturday","Non-Holiday",0
"43",43,411281,"2017-04-04","LYCEE HENRI SELLIER",610,6868624,664446,"Tuesday","Non-Holiday",0
"44",44,411281,"2017-04-04","LYCEE HENRI SELLIER",610,6868564,664461,"Tuesday","Non-Holiday",0
"45",45,411281,"2017-05-04","LYCEE HENRI SELLIER",911,6868624,664446,"Thursday","Non-Holiday",0
"46",46,411281,"2017-05-04","LYCEE HENRI SELLIER",911,6868564,664461,"Thursday","Non-Holiday",0
"47",47,411281,"2017-06-04","LYCEE HENRI SELLIER",242,6868624,664446,"Sunday","Non-Holiday",0
"48",48,411281,"2017-06-04","LYCEE HENRI SELLIER",242,6868564,664461,"Sunday","Non-Holiday",0
"49",49,411281,"2017-01-05","LYCEE HENRI SELLIER",636,6868624,664446,"Thursday","Non-Holiday",0
"50",50,411281,"2017-01-05","LYCEE HENRI SELLIER",636,6868564,664461,"Thursday","Non-Holiday",0
"51",51,411281,"2017-02-05","LYCEE HENRI SELLIER",195,6868624,664446,"Sunday","Non-Holiday",1
"52",52,411281,"2017-02-05","LYCEE HENRI SELLIER",195,6868564,664461,"Sunday","Non-Holiday",1
"53",53,411281,"2017-03-05","LYCEE HENRI SELLIER",111,6868624,664446,"Sunday","Non-Holiday",0
"54",54,411281,"2017-03-05","LYCEE HENRI SELLIER",111,6868564,664461,"Sunday","Non-Holiday",0
"55",55,411281,"2017-04-05","LYCEE HENRI SELLIER",614,6868624,664446,"Wednesday","Non-Holiday",0
"56",56,411281,"2017-04-05","LYCEE HENRI SELLIER",614,6868564,664461,"Wednesday","Non-Holiday",0
"57",57,411281,"2017-05-05","LYCEE HENRI SELLIER",864,6868624,664446,"Friday","Non-Holiday",0
"58",58,411281,"2017-05-05","LYCEE HENRI SELLIER",864,6868564,664461,"Friday","Non-Holiday",0
"59",59,411281,"2017-06-05","LYCEE HENRI SELLIER",285,6868624,664446,"Monday","Non-Holiday",0
"60",60,411281,"2017-06-05","LYCEE HENRI SELLIER",285,6868564,664461,"Monday","Non-Holiday",0
"61",61,411281,"2017-01-06","LYCEE HENRI SELLIER",638,6868624,664446,"Friday","Non-Holiday",0
"62",62,411281,"2017-01-06","LYCEE HENRI SELLIER",638,6868564,664461,"Friday","Non-Holiday",0
"63",63,411281,"2017-02-06","LYCEE HENRI SELLIER",584,6868624,664446,"Monday","Non-Holiday",1
"64",64,411281,"2017-02-06","LYCEE HENRI SELLIER",584,6868564,664461,"Monday","Non-Holiday",1
"65",65,411281,"2017-03-06","LYCEE HENRI SELLIER",835,6868624,664446,"Monday","Non-Holiday",0
"66",66,411281,"2017-03-06","LYCEE HENRI SELLIER",835,6868564,664461,"Monday","Non-Holiday",0
"67",67,411281,"2017-04-06","LYCEE HENRI SELLIER",523,6868624,664446,"Thursday","Non-Holiday",0
"68",68,411281,"2017-04-06","LYCEE HENRI SELLIER",523,6868564,664461,"Thursday","Non-Holiday",0
"69",69,411281,"2017-05-06","LYCEE HENRI SELLIER",30,6868624,664446,"Saturday","Non-Holiday",0
"70",70,411281,"2017-05-06","LYCEE HENRI SELLIER",30,6868564,664461,"Saturday","Non-Holiday",0
"71",71,411281,"2017-06-06","LYCEE HENRI SELLIER",769,6868624,664446,"Tuesday","Non-Holiday",0
"72",72,411281,"2017-06-06","LYCEE HENRI SELLIER",769,6868564,664461,"Tuesday","Non-Holiday",0
"73",73,411281,"2017-01-07","LYCEE HENRI SELLIER",240,6868624,664446,"Saturday","Non-Holiday",0
"74",74,411281,"2017-01-07","LYCEE HENRI SELLIER",240,6868564,664461,"Saturday","Non-Holiday",0
"75",75,411281,"2017-02-07","LYCEE HENRI SELLIER",581,6868624,664446,"Tuesday","Non-Holiday",1
"76",76,411281,"2017-02-07","LYCEE HENRI SELLIER",581,6868564,664461,"Tuesday","Non-Holiday",1
"77",77,411281,"2017-03-07","LYCEE HENRI SELLIER",942,6868624,664446,"Tuesday","Non-Holiday",0
"78",78,411281,"2017-03-07","LYCEE HENRI SELLIER",942,6868564,664461,"Tuesday","Non-Holiday",0
"79",79,411281,"2017-04-07","LYCEE HENRI SELLIER",550,6868624,664446,"Friday","Non-Holiday",0
"80",80,411281,"2017-04-07","LYCEE HENRI SELLIER",550,6868564,664461,"Friday","Non-Holiday",0
"81",81,411281,"2017-05-07","LYCEE HENRI SELLIER",10,6868624,664446,"Sunday","Non-Holiday",0
"82",82,411281,"2017-05-07","LYCEE HENRI SELLIER",10,6868564,664461,"Sunday","Non-Holiday",0
"83",83,411281,"2017-06-07","LYCEE HENRI SELLIER",752,6868624,664446,"Wednesday","Non-Holiday",0
"84",84,411281,"2017-06-07","LYCEE HENRI SELLIER",752,6868564,664461,"Wednesday","Non-Holiday",0
"85",85,411281,"2017-01-08","LYCEE HENRI SELLIER",164,6868624,664446,"Sunday","Non-Holiday",0
"86",86,411281,"2017-01-08","LYCEE HENRI SELLIER",164,6868564,664461,"Sunday","Non-Holiday",0
"87",87,411281,"2017-02-08","LYCEE HENRI SELLIER",588,6868624,664446,"Wednesday","Non-Holiday",1
"88",88,411281,"2017-02-08","LYCEE HENRI SELLIER",588,6868564,664461,"Wednesday","Non-Holiday",1
"89",89,411281,"2017-03-08","LYCEE HENRI SELLIER",889,6868624,664446,"Wednesday","Non-Holiday",0
"90",90,411281,"2017-03-08","LYCEE HENRI SELLIER",889,6868564,664461,"Wednesday","Non-Holiday",0
"91",91,411281,"2017-04-08","LYCEE HENRI SELLIER",58,6868624,664446,"Saturday","Non-Holiday",0
"92",92,411281,"2017-04-08","LYCEE HENRI SELLIER",58,6868564,664461,"Saturday","Non-Holiday",0
"93",93,411281,"2017-05-08","LYCEE HENRI SELLIER",8,6868624,664446,"Monday","Non-Holiday",0
"94",94,411281,"2017-05-08","LYCEE HENRI SELLIER",8,6868564,664461,"Monday","Non-Holiday",0
"95",95,411281,"2017-06-08","LYCEE HENRI SELLIER",709,6868624,664446,"Thursday","Non-Holiday",0
"96",96,411281,"2017-06-08","LYCEE HENRI SELLIER",709,6868564,664461,"Thursday","Non-Holiday",0
"97",97,411281,"2017-01-09","LYCEE HENRI SELLIER",670,6868624,664446,"Monday","Non-Holiday",0
"98",98,411281,"2017-01-09","LYCEE HENRI SELLIER",670,6868564,664461,"Monday","Non-Holiday",0
"99",99,411281,"2017-02-09","LYCEE HENRI SELLIER",564,6868624,664446,"Thursday","Non-Holiday",1
"100",100,411281,"2017-02-09","LYCEE HENRI SELLIER",564,6868564,664461,"Thursday","Non-Holiday",1
"101",101,411281,"2017-03-09","LYCEE HENRI SELLIER",925,6868624,664446,"Thursday","Non-Holiday",0
"102",102,411281,"2017-03-09","LYCEE HENRI SELLIER",925,6868564,664461,"Thursday","Non-Holiday",0
"103",103,411281,"2017-04-09","LYCEE HENRI SELLIER",181,6868624,664446,"Sunday","Non-Holiday",0
"104",104,411281,"2017-04-09","LYCEE HENRI SELLIER",181,6868564,664461,"Sunday","Non-Holiday",0
"105",105,411281,"2017-05-09","LYCEE HENRI SELLIER",925,6868624,664446,"Tuesday","Non-Holiday",0
"106",106,411281,"2017-05-09","LYCEE HENRI SELLIER",925,6868564,664461,"Tuesday","Non-Holiday",0
"107",107,411281,"2017-06-09","LYCEE HENRI SELLIER",705,6868624,664446,"Friday","Non-Holiday",0
"108",108,411281,"2017-06-09","LYCEE HENRI SELLIER",705,6868564,664461,"Friday","Non-Holiday",0
"109",109,411281,"2017-01-10","LYCEE HENRI SELLIER",652,6868624,664446,"Tuesday","Non-Holiday",0
"110",110,411281,"2017-01-10","LYCEE HENRI SELLIER",652,6868564,664461,"Tuesday","Non-Holiday",0
"111",111,411281,"2017-02-10","LYCEE HENRI SELLIER",512,6868624,664446,"Friday","Non-Holiday",1
"112",112,411281,"2017-02-10","LYCEE HENRI SELLIER",512,6868564,664461,"Friday","Non-Holiday",1
"113",113,411281,"2017-03-10","LYCEE HENRI SELLIER",909,6868624,664446,"Friday","Non-Holiday",0
"114",114,411281,"2017-03-10","LYCEE HENRI SELLIER",909,6868564,664461,"Friday","Non-Holiday",0
"115",115,411281,"2017-04-10","LYCEE HENRI SELLIER",497,6868624,664446,"Monday","Non-Holiday",0
"116",116,411281,"2017-04-10","LYCEE HENRI SELLIER",497,6868564,664461,"Monday","Non-Holiday",0
"117",117,411281,"2017-05-10","LYCEE HENRI SELLIER",888,6868624,664446,"Wednesday","Non-Holiday",0
"118",118,411281,"2017-05-10","LYCEE HENRI SELLIER",888,6868564,664461,"Wednesday","Non-Holiday",0
"119",119,411281,"2017-06-10","LYCEE HENRI SELLIER",287,6868624,664446,"Saturday","Non-Holiday",0
"120",120,411281,"2017-06-10","LYCEE HENRI SELLIER",287,6868564,664461,"Saturday","Non-Holiday",0
"121",121,411281,"2017-01-11","LYCEE HENRI SELLIER",426,6868624,664446,"Wednesday","Non-Holiday",0
"122",122,411281,"2017-01-11","LYCEE HENRI SELLIER",426,6868564,664461,"Wednesday","Non-Holiday",0
"123",123,411281,"2017-02-11","LYCEE HENRI SELLIER",275,6868624,664446,"Saturday","Non-Holiday",1
"124",124,411281,"2017-02-11","LYCEE HENRI SELLIER",275,6868564,664461,"Saturday","Non-Holiday",1
"125",125,411281,"2017-03-11","LYCEE HENRI SELLIER",426,6868624,664446,"Saturday","Non-Holiday",0
"126",126,411281,"2017-03-11","LYCEE HENRI SELLIER",426,6868564,664461,"Saturday","Non-Holiday",0
"127",127,411281,"2017-04-11","LYCEE HENRI SELLIER",517,6868624,664446,"Tuesday","Non-Holiday",0
"128",128,411281,"2017-04-11","LYCEE HENRI SELLIER",517,6868564,664461,"Tuesday","Non-Holiday",0
"129",129,411281,"2017-05-11","LYCEE HENRI SELLIER",926,6868624,664446,"Thursday","Non-Holiday",0
"130",130,411281,"2017-05-11","LYCEE HENRI SELLIER",926,6868564,664461,"Thursday","Non-Holiday",0
"131",131,411281,"2017-06-11","LYCEE HENRI SELLIER",226,6868624,664446,"Sunday","Non-Holiday",0
"132",132,411281,"2017-06-11","LYCEE HENRI SELLIER",226,6868564,664461,"Sunday","Non-Holiday",0
"133",133,411281,"2017-01-12","LYCEE HENRI SELLIER",600,6868624,664446,"Thursday","Non-Holiday",0
"134",134,411281,"2017-01-12","LYCEE HENRI SELLIER",600,6868564,664461,"Thursday","Non-Holiday",0
"135",135,411281,"2017-02-12","LYCEE HENRI SELLIER",179,6868624,664446,"Sunday","Non-Holiday",1
"136",136,411281,"2017-02-12","LYCEE HENRI SELLIER",179,6868564,664461,"Sunday","Non-Holiday",1
"137",137,411281,"2017-03-12","LYCEE HENRI SELLIER",184,6868624,664446,"Sunday","Non-Holiday",0
"138",138,411281,"2017-03-12","LYCEE HENRI SELLIER",184,6868564,664461,"Sunday","Non-Holiday",0
"139",139,411281,"2017-04-12","LYCEE HENRI SELLIER",536,6868624,664446,"Wednesday","Non-Holiday",0
"140",140,411281,"2017-04-12","LYCEE HENRI SELLIER",536,6868564,664461,"Wednesday","Non-Holiday",0
"141",141,411281,"2017-05-12","LYCEE HENRI SELLIER",899,6868624,664446,"Friday","Non-Holiday",0
"142",142,411281,"2017-05-12","LYCEE HENRI SELLIER",899,6868564,664461,"Friday","Non-Holiday",0
"143",143,411281,"2017-06-12","LYCEE HENRI SELLIER",628,6868624,664446,"Monday","Non-Holiday",0
"144",144,411281,"2017-06-12","LYCEE HENRI SELLIER",628,6868564,664461,"Monday","Non-Holiday",0
"145",145,411281,"2017-01-13","LYCEE HENRI SELLIER",597,6868624,664446,"Friday","Non-Holiday",0
"146",146,411281,"2017-01-13","LYCEE HENRI SELLIER",597,6868564,664461,"Friday","Non-Holiday",0
"147",147,411281,"2017-02-13","LYCEE HENRI SELLIER",500,6868624,664446,"Monday","Non-Holiday",1
"148",148,411281,"2017-02-13","LYCEE HENRI SELLIER",500,6868564,664461,"Monday","Non-Holiday",1
"149",149,411281,"2017-03-13","LYCEE HENRI SELLIER",945,6868624,664446,"Monday","Non-Holiday",0
"150",150,411281,"2017-03-13","LYCEE HENRI SELLIER",945,6868564,664461,"Monday","Non-Holiday",0
"151",151,411281,"2017-04-13","LYCEE HENRI SELLIER",535,6868624,664446,"Thursday","Non-Holiday",0
"152",152,411281,"2017-04-13","LYCEE HENRI SELLIER",535,6868564,664461,"Thursday","Non-Holiday",0
"153",153,411281,"2017-05-13","LYCEE HENRI SELLIER",304,6868624,664446,"Saturday","Non-Holiday",0
"154",154,411281,"2017-05-13","LYCEE HENRI SELLIER",304,6868564,664461,"Saturday","Non-Holiday",0
